sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
GETRequest,62884,87,1,951,244,111.2894800484954,0.0,1048.9057912997064,3781.801075626126,3692.003927867184
TOTAL,62884,87,1,951,244,111.2894800484954,0.0,1048.9057912997064,3781.801075626126,3692.003927867184
