sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
GETRequest,62884,87,15,244,1,951,0.0,1048.9057912997064,3781.801075626126,111.2894800484954
TOTAL,62884,87,15,244,1,951,0.0,1048.9057912997064,3781.801075626126,111.2894800484954
