sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
GETRequest,58586,32,1,1835,72,62.8232170291092,0.0,736.9586273695863,2657.124013425821,3692.0593486498483
TOTAL,58586,32,1,1835,72,62.8232170291092,0.0,736.9586273695863,2657.124013425821,3692.0593486498483
