sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
GETRequest,58586,32,12,72,1,1835,0.0,736.9586273695863,2657.124013425821,62.8232170291092
TOTAL,58586,32,12,72,1,1835,0.0,736.9586273695863,2657.124013425821,62.8232170291092
